mapillary_image_id,lat,lon,confidence,image_path,osm_status,osm_id
1157764938080581,52.490713996862,13.363978425053,0.0715,images/1157764938080581.jpg,,
1453670981660650,52.490583751967,13.36393485176,0.1814,images/1453670981660650.jpg,,
1033591466314750,52.49038169631,13.357412880299,0.3453,images/1033591466314750.jpg,MISSING,
1434025240283207,52.490637999972,13.3532518,0.0394,images/1434025240283207.jpg,,
162912599013909,52.490666666667,13.353213888889,0.1452,images/162912599013909.jpg,,
319957332983692,52.490450699972,13.3704459,0.1489,images/319957332983692.jpg,,
3811980122204849,52.4906463,13.369675199972,0.0198,images/3811980122204849.jpg,,
109773491173307,52.492468703588,13.379344589363,0.0179,images/109773491173307.jpg,,
1113780222469167,52.490453799972,13.402202,0.3472,images/1113780222469167.jpg,MISSING,
1176127219558596,52.492255,13.396676,0.0578,images/1176127219558596.jpg,,
1116674675410783,52.49223,13.396546,0.1279,images/1116674675410783.jpg,,
218822086714965,52.491522054237,13.427735539166,0.2597,images/218822086714965.jpg,,
1039967491167239,52.491639442791,13.413153206942,0.1442,images/1039967491167239.jpg,,
1128815924308450,52.495006,13.354826,0.0268,images/1128815924308450.jpg,,
1166024440584654,52.494604,13.3550187,0.0758,images/1166024440584654.jpg,,
512154166493112,52.493850299972,13.353876899972,0.2524,images/512154166493112.jpg,,
1412599915788029,52.493039820203,13.366798206193,0.058,images/1412599915788029.jpg,,
1187570725023830,52.493072972917,13.366878323611,0.1186,images/1187570725023830.jpg,,
1028392298648136,52.494157156956,13.360908720655,0.402,images/1028392298648136.jpg,MISSING,
1028644511846263,52.494237246041,13.360907798645,0.1888,images/1028644511846263.jpg,,
130718029095510,52.494227271389,13.380164466667,0.1074,images/130718029095510.jpg,,
1897622253725573,52.494195671667,13.380329338611,0.0243,images/1897622253725573.jpg,,
1002972167114371,52.494259,13.399499,0.0085,images/1002972167114371.jpg,,
1030055113249958,52.494484093089,13.400054974494,0.1013,images/1030055113249958.jpg,,
1232596840896014,52.496945,13.353137,0.0049,images/1232596840896014.jpg,,
2892911134254114,52.493104,13.411968,0.1184,images/2892911134254114.jpg,,
299158425018724,52.493119,13.412051,0.2732,images/299158425018724.jpg,,
1019952015206765,52.498048099972,13.3565924,0.4445,images/1019952015206765.jpg,MISSING,
1082031343041742,52.497918167973,13.356353295557,0.1105,images/1082031343041742.jpg,,
1014886215584117,52.4965128,13.366851,0.1081,images/1014886215584117.jpg,,
1055396638197541,52.497034790043,13.361913710845,0.0418,images/1055396638197541.jpg,,
1067871290368780,52.497014,13.36171,0.7039,images/1067871290368780.jpg,MISSING,
1209811806382944,52.496515614961,13.378063291324,0.0024,images/1209811806382944.jpg,,
1021325373333076,52.496731616606,13.384530600173,0.1672,images/1021325373333076.jpg,,
1015791877228739,52.497706,13.388922,0.0791,images/1015791877228739.jpg,,
1020484578960192,52.4978821,13.3888835,0.4445,images/1020484578960192.jpg,MISSING,
105308235112445,52.497893138838,13.391446676118,0.1005,images/105308235112445.jpg,,
1059516095156503,52.497939267759,13.391048849097,0.0064,images/1059516095156503.jpg,,
3171824609619678,52.498124977205,13.354182205468,0.0523,images/3171824609619678.jpg,,
